TABLE NO.  1
 NUM         IPRED       NPDE        CWRES       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  1.9337E-01  2.9443E-01  1.2161E+00  0.0000E+00  1.2161E+00  2.9443E-01
  2.0000E+00  0.0000E+00  2.4747E+00  3.0422E+00  1.2565E+01  0.0000E+00  1.2565E+01  3.0422E+00
  3.0000E+00  0.0000E+00  2.7131E+00  2.7160E+00  1.1218E+01  0.0000E+00  1.1218E+01  2.7160E+00
  4.0000E+00  0.0000E+00  2.9352E+00  4.2876E+00  1.7709E+01  0.0000E+00  1.7709E+01  4.2876E+00
  5.0000E+00  0.0000E+00  2.9352E+00  5.3083E+00  2.1925E+01  0.0000E+00  2.1925E+01  5.3083E+00
  6.0000E+00  0.0000E+00  2.9352E+00  3.9234E+00  1.6205E+01  0.0000E+00  1.6205E+01  3.9234E+00
  7.0000E+00  0.0000E+00  2.9352E+00  4.5256E+00  1.8692E+01  0.0000E+00  1.8692E+01  4.5256E+00
  8.0000E+00  0.0000E+00  2.9352E+00  5.7594E+00  2.3788E+01  0.0000E+00  2.3788E+01  5.7594E+00
  9.0000E+00  0.0000E+00  2.9352E+00  3.9888E+00  1.6475E+01  0.0000E+00  1.6475E+01  3.9888E+00
  1.0000E+01  0.0000E+00  2.9352E+00  4.1997E+00  1.7346E+01  0.0000E+00  1.7346E+01  4.1997E+00
  1.1000E+01  0.0000E+00  2.9352E+00  4.4484E+00  1.8373E+01  0.0000E+00  1.8373E+01  4.4484E+00
  1.2000E+01  0.0000E+00  2.9352E+00  4.4191E+00  1.8252E+01  0.0000E+00  1.8252E+01  4.4191E+00
  1.3000E+01  0.0000E+00  2.9352E+00  4.4450E+00  1.8359E+01  0.0000E+00  1.8359E+01  4.4450E+00
  1.4000E+01  0.0000E+00  2.7131E+00  3.1613E+00  1.3057E+01  0.0000E+00  1.3057E+01  3.1613E+00
  1.5000E+01  0.0000E+00  2.9352E+00  3.6641E+00  1.5134E+01  0.0000E+00  1.5134E+01  3.6641E+00
  1.6000E+01  0.0000E+00  1.8808E+00  2.0455E+00  8.4486E+00  0.0000E+00  8.4486E+00  2.0455E+00
  1.7000E+01  0.0000E+00  2.3263E+00  2.6596E+00  1.0985E+01  0.0000E+00  1.0985E+01  2.6596E+00
  1.8000E+01  0.0000E+00  1.2265E+00  1.3888E+00  5.7362E+00  0.0000E+00  5.7362E+00  1.3888E+00
  1.9000E+01  0.0000E+00  2.2164E+00  2.0388E+00  8.4208E+00  0.0000E+00  8.4208E+00  2.0388E+00
